transaction_id,customer_id,transaction_date,transaction_amount,transaction_type,_txn_month
1,393,2023-01-01 00:00:00,3472.0,purchase,2023-01
3,916,2023-01-01 02:00:00,10.0,purchase,2023-01
4,109,2023-01-01 03:00:00,72.0,investment,2023-01
5,889,2023-01-01 04:00:00,1793.0,investment,2023-01
6,348,2023-01-01 05:00:00,3824.0,loan payment,2023-01
7,50,2023-01-01 06:00:00,235.0,loan payment,2023-01
8,916,2023-01-01 07:00:00,1052.0,loan payment,2023-01
9,105,2023-01-01 08:00:00,854.0,purchase,2023-01
10,420,2023-01-01 09:00:00,2690.0,investment,2023-01
11,373,2023-01-01 10:00:00,4129.0,investment,2023-01
12,27,2023-01-01 11:00:00,1244.0,investment,2023-01
13,968,2023-01-01 12:00:00,1994.0,bill payment,2023-01
14,800,2023-01-01 13:00:00,4266.0,purchase,2023-01
15,769,2023-01-01 14:00:00,1288.0,purchase,2023-01
16,273,2023-01-01 15:00:00,1604.0,loan payment,2023-01
17,649,2023-01-01 16:00:00,2561.0,bill payment,2023-01
18,340,2023-01-01 17:00:00,1962.0,bill payment,2023-01
19,301,2023-01-01 18:00:00,1705.0,investment,2023-01
20,480,2023-01-01 19:00:00,964.0,loan payment,2023-01
21,834,2023-01-01 20:00:00,3301.0,purchase,2023-01
22,544,2023-01-01 21:00:00,366.0,bill payment,2023-01
23,557,2023-01-01 22:00:00,3605.0,investment,2023-01
24,265,2023-01-01 23:00:00,978.0,purchase,2023-01
25,542,2023-01-02 00:00:00,251.0,investment,2023-01
26,596,2023-01-02 01:00:00,3456.0,purchase,2023-01
27,166,2023-01-02 02:00:00,4244.0,investment,2023-01
28,316,2023-01-02 03:00:00,2154.0,purchase,2023-01
29,1,2023-01-02 04:00:00,156.0,loan payment,2023-01
30,761,2023-01-02 05:00:00,552.0,purchase,2023-01
31,261,2023-01-02 06:00:00,701.0,purchase,2023-01
33,483,2023-01-02 08:00:00,4060.0,investment,2023-01
34,676,2023-01-02 09:00:00,4015.0,bill payment,2023-01
35,321,2023-01-02 10:00:00,3369.0,purchase,2023-01
36,846,2023-01-02 11:00:00,2961.0,purchase,2023-01
37,201,2023-01-02 12:00:00,739.0,loan payment,2023-01
38,222,2023-01-02 13:00:00,4509.0,purchase,2023-01
39,152,2023-01-02 14:00:00,2565.0,loan payment,2023-01
40,644,2023-01-02 15:00:00,1160.0,purchase,2023-01
41,626,2023-01-02 16:00:00,1745.0,investment,2023-01
42,462,2023-01-02 17:00:00,1048.0,bill payment,2023-01
43,217,2023-01-02 18:00:00,2922.0,bill payment,2023-01
44,196,2023-01-02 19:00:00,4850.0,bill payment,2023-01
45,793,2023-01-02 20:00:00,2550.0,investment,2023-01
46,202,2023-01-02 21:00:00,4424.0,loan payment,2023-01
47,995,2023-01-02 22:00:00,1252.0,bill payment,2023-01
48,647,2023-01-02 23:00:00,782.0,investment,2023-01
49,234,2023-01-03 00:00:00,1926.0,investment,2023-01
50,141,2023-01-03 01:00:00,3422.0,purchase,2023-01
51,708,2023-01-03 02:00:00,2509.0,loan payment,2023-01
52,498,2023-01-03 03:00:00,3450.0,investment,2023-01
53,555,2023-01-03 04:00:00,3555.0,loan payment,2023-01
54,57,2023-01-03 05:00:00,1223.0,bill payment,2023-01
55,932,2023-01-03 06:00:00,2941.0,bill payment,2023-01
56,504,2023-01-03 07:00:00,428.0,bill payment,2023-01
57,142,2023-01-03 08:00:00,3791.0,purchase,2023-01
58,722,2023-01-03 09:00:00,4970.0,purchase,2023-01
59,584,2023-01-03 10:00:00,798.0,loan payment,2023-01
60,736,2023-01-03 11:00:00,1881.0,loan payment,2023-01
61,539,2023-01-03 12:00:00,4600.0,purchase,2023-01
62,640,2023-01-03 13:00:00,2035.0,investment,2023-01
63,106,2023-01-03 14:00:00,2456.0,loan payment,2023-01
64,165,2023-01-03 15:00:00,4833.0,loan payment,2023-01
65,215,2023-01-03 16:00:00,570.0,bill payment,2023-01
66,71,2023-01-03 17:00:00,2661.0,loan payment,2023-01
67,716,2023-01-03 18:00:00,3914.0,loan payment,2023-01
68,665,2023-01-03 19:00:00,549.0,investment,2023-01
69,579,2023-01-03 20:00:00,4765.0,loan payment,2023-01
70,90,2023-01-03 21:00:00,3146.0,investment,2023-01
71,772,2023-01-03 22:00:00,3299.0,bill payment,2023-01
72,874,2023-01-03 23:00:00,2620.0,purchase,2023-01
73,228,2023-01-04 00:00:00,4922.0,bill payment,2023-01
74,79,2023-01-04 01:00:00,1954.0,investment,2023-01
75,608,2023-01-04 02:00:00,3155.0,investment,2023-01
76,349,2023-01-04 03:00:00,2768.0,loan payment,2023-01
77,842,2023-01-04 04:00:00,3270.0,loan payment,2023-01
78,981,2023-01-04 05:00:00,4117.0,purchase,2023-01
79,894,2023-01-04 06:00:00,1905.0,investment,2023-01
80,246,2023-01-04 07:00:00,2510.0,investment,2023-01
81,272,2023-01-04 08:00:00,2839.0,bill payment,2023-01
82,403,2023-01-04 09:00:00,3883.0,purchase,2023-01
83,669,2023-01-04 10:00:00,57.0,bill payment,2023-01
84,116,2023-01-04 11:00:00,2374.0,loan payment,2023-01
85,435,2023-01-04 12:00:00,2266.0,loan payment,2023-01
86,530,2023-01-04 13:00:00,4682.0,bill payment,2023-01
87,442,2023-01-04 14:00:00,763.0,loan payment,2023-01
88,172,2023-01-04 15:00:00,2812.0,bill payment,2023-01
89,16,2023-01-04 16:00:00,4659.0,investment,2023-01
90,961,2023-01-04 17:00:00,3662.0,investment,2023-01
91,752,2023-01-04 18:00:00,412.0,loan payment,2023-01
92,898,2023-01-04 19:00:00,2096.0,purchase,2023-01
93,56,2023-01-04 20:00:00,2237.0,investment,2023-01
94,591,2023-01-04 21:00:00,3420.0,loan payment,2023-01
95,103,2023-01-04 22:00:00,3000.0,purchase,2023-01
96,284,2023-01-04 23:00:00,4653.0,loan payment,2023-01
97,705,2023-01-05 00:00:00,1159.0,bill payment,2023-01
98,517,2023-01-05 01:00:00,72.0,loan payment,2023-01
99,618,2023-01-05 02:00:00,4949.0,bill payment,2023-01
100,278,2023-01-05 03:00:00,3163.0,investment,2023-01
101,885,2023-01-05 04:00:00,1018.0,investment,2023-01
102,612,2023-01-05 05:00:00,2041.0,loan payment,2023-01
103,750,2023-01-05 06:00:00,1332.0,purchase,2023-01
104,269,2023-01-05 07:00:00,2091.0,loan payment,2023-01
105,833,2023-01-05 08:00:00,761.0,loan payment,2023-01
106,400,2023-01-05 09:00:00,4154.0,investment,2023-01
107,503,2023-01-05 10:00:00,667.0,investment,2023-01
108,86,2023-01-05 11:00:00,1670.0,loan payment,2023-01
109,320,2023-01-05 12:00:00,710.0,investment,2023-01
110,32,2023-01-05 13:00:00,1090.0,bill payment,2023-01
111,336,2023-01-05 14:00:00,2166.0,loan payment,2023-01
112,51,2023-01-05 15:00:00,1550.0,investment,2023-01
113,79,2023-01-05 16:00:00,3042.0,loan payment,2023-01
114,698,2023-01-05 17:00:00,1993.0,investment,2023-01
115,174,2023-01-05 18:00:00,324.0,bill payment,2023-01
116,948,2023-01-05 19:00:00,3091.0,bill payment,2023-01
117,618,2023-01-05 20:00:00,4743.0,loan payment,2023-01
118,501,2023-01-05 21:00:00,2324.0,bill payment,2023-01
119,575,2023-01-05 22:00:00,2145.0,bill payment,2023-01
120,76,2023-01-05 23:00:00,1659.0,investment,2023-01
121,316,2023-01-06 00:00:00,3229.0,loan payment,2023-01
122,833,2023-01-06 01:00:00,3810.0,investment,2023-01
123,373,2023-01-06 02:00:00,2488.0,investment,2023-01
124,81,2023-01-06 03:00:00,4077.0,purchase,2023-01
125,873,2023-01-06 04:00:00,1785.0,bill payment,2023-01
126,640,2023-01-06 05:00:00,1976.0,investment,2023-01
127,695,2023-01-06 06:00:00,1777.0,investment,2023-01
128,755,2023-01-06 07:00:00,3825.0,investment,2023-01
129,697,2023-01-06 08:00:00,251.0,bill payment,2023-01
130,732,2023-01-06 09:00:00,4807.0,bill payment,2023-01
131,71,2023-01-06 10:00:00,2959.0,bill payment,2023-01
