customer_id,total_transaction_count,total_transaction_amount,avg_transaction_amount,min_transaction_amount,max_transaction_amount,active_months,last_transaction_date,transaction_frequency_per_month,recency_days,txn_type_prop_bill payment,txn_type_prop_investment,txn_type_prop_loan payment,txn_type_prop_purchase,avg_satisfaction_score,avg_likelihood_to_recommend,feedback_count
1,6,16836.0,2806.0,156.0,4993.0,4,2023-07-02 03:00:00,1.5,26,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,8.5,9.0,2
2,2,4907.0,2453.5,2057.0,2850.0,2,2023-05-21 23:00:00,1.0,67,0.5,0.0,0.5,0.0,4.333333333333333,5.0,3
3,1,1538.0,1538.0,1538.0,1538.0,1,2023-02-27 23:00:00,1.0,150,1.0,0.0,0.0,0.0,8.333333333333334,3.6666666666666665,3
4,2,8295.0,4147.5,3559.0,4736.0,2,2023-06-30 01:00:00,1.0,28,0.0,0.0,0.5,0.5,5.5,3.3333333333333335,6
5,5,14798.0,2959.6,1508.0,4878.0,3,2023-07-27 00:00:00,1.6666666666666667,1,0.4,0.2,0.0,0.4,6.444444444444445,5.666666666666667,9
6,3,8694.0,2898.0,2749.0,3021.0,2,2023-04-21 04:00:00,1.5,98,0.0,0.3333333333333333,0.6666666666666666,0.0,2.6666666666666665,3.3333333333333335,3
7,2,3572.0,1786.0,545.0,3027.0,2,2023-07-18 03:00:00,1.0,10,0.0,0.0,1.0,0.0,5.25,4.4,4
8,6,12252.0,2042.0,60.0,4681.0,3,2023-04-25 06:00:00,2.0,94,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,7.5,4.333333333333333,2
9,8,17320.0,2165.0,241.0,4789.0,5,2023-06-04 22:00:00,1.6,53,0.125,0.375,0.25,0.25,7.0,4.0,6
10,6,15682.0,2613.6666666666665,529.0,4867.0,4,2023-07-22 17:00:00,1.5,5,0.5,0.16666666666666666,0.0,0.3333333333333333,5.0,3.5,4
11,1,4993.0,4993.0,4993.0,4993.0,1,2023-04-05 22:00:00,1.0,113,1.0,0.0,0.0,0.0,5.0,3.6666666666666665,6
12,5,15415.0,3083.0,1115.0,4970.0,4,2023-07-03 21:00:00,1.25,24,0.6,0.0,0.4,0.0,5.5,6.25,4
13,9,18490.0,2054.4444444444443,121.0,4207.0,5,2023-06-18 23:00:00,1.8,39,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6.375,4.25,8
14,7,19347.0,2763.8571428571427,830.0,4741.0,3,2023-06-26 14:00:00,2.3333333333333335,31,0.42857142857142855,0.0,0.42857142857142855,0.14285714285714285,7.8,5.8,5
15,7,22481.0,3211.5714285714284,1107.0,4665.0,4,2023-06-30 06:00:00,1.75,28,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0,5.0,7.666666666666667,3
16,8,28563.0,3570.375,763.0,4901.0,5,2023-07-20 16:00:00,1.6,7,0.0,0.625,0.375,0.0,6.285714285714286,5.714285714285714,7
17,5,14484.0,2896.8,1539.0,4364.0,3,2023-07-19 06:00:00,1.6666666666666667,9,0.2,0.6,0.0,0.2,5.2,7.2,5
18,4,8074.0,2018.5,689.0,3439.0,3,2023-05-31 18:00:00,1.3333333333333333,57,0.25,0.0,0.25,0.5,4.8,4.8,5
19,3,6929.0,2309.6666666666665,1229.0,3384.0,3,2023-07-27 17:00:00,1.0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,5.4,3.8,5
20,1,4408.0,4408.0,4408.0,4408.0,1,2023-01-24 04:00:00,1.0,185,0.0,0.0,1.0,0.0,6.666666666666667,5.666666666666667,6
21,6,14190.0,2365.0,470.0,4359.0,5,2023-07-10 21:00:00,1.2,17,0.0,0.5,0.3333333333333333,0.16666666666666666,5.7,6.1,10
22,3,7440.0,2480.0,1220.0,4869.0,3,2023-07-11 14:00:00,1.0,16,0.0,0.0,1.0,0.0,5.5,8.25,4
23,9,17009.0,1889.888888888889,122.0,4570.0,5,2023-05-12 09:00:00,1.8,76,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.3333333333333333,6.0,8.0,2
24,4,16534.0,4133.5,3304.0,4690.0,4,2023-05-24 03:00:00,1.0,65,0.75,0.25,0.0,0.0,5.5,8.75,4
25,4,12719.0,3179.75,2292.0,4310.0,3,2023-07-08 19:00:00,1.3333333333333333,19,0.5,0.0,0.0,0.5,6.0,7.6,5
26,4,9026.0,2256.5,952.0,3955.0,3,2023-05-24 06:00:00,1.3333333333333333,65,0.25,0.0,0.25,0.5,5.5,8.0,6
27,6,207174.0,34529.0,1244.0,194500.0,3,2023-07-03 20:00:00,2.0,24,0.5,0.16666666666666666,0.0,0.3333333333333333,6.8,5.0,5
28,7,20987.0,2998.1428571428573,654.0,4631.0,3,2023-03-12 06:00:00,2.3333333333333335,138,0.0,0.2857142857142857,0.42857142857142855,0.2857142857142857,3.5,2.0,2
29,3,4253.0,1417.6666666666667,38.0,3439.0,3,2023-07-16 03:00:00,1.0,12,0.0,0.3333333333333333,0.0,0.6666666666666666,4.166666666666667,7.166666666666667,6
30,9,22781.0,2531.222222222222,297.0,4873.0,5,2023-06-30 19:00:00,1.8,27,0.6666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,3.8333333333333335,6.833333333333333,6
31,6,14962.0,2493.6666666666665,1171.0,4907.0,3,2023-05-22 20:00:00,2.0,66,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6.5,8.0,2
32,9,28958.0,3217.5555555555557,359.0,4944.0,5,2023-06-19 17:00:00,1.8,38,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.1111111111111111,7.5,5.5,6
33,3,5771.0,1923.6666666666667,1190.0,2944.0,3,2023-06-27 20:00:00,1.0,30,0.0,1.0,0.0,0.0,7.166666666666667,7.333333333333333,6
